iter	MultiClass	Accuracy
0	1.925886402	0.9668214997
1	1.905194486	0.9867285999
2	1.884494227	0.9920371599
3	1.86486013	0.9930325149
4	1.845867769	0.9927007299
5	1.82647359	0.9946914399
6	1.808470164	0.9940278699
7	1.79068944	0.9930325149
8	1.773249967	0.9940278699
9	1.756556437	0.9940278699
10	1.739807446	0.9940278699
11	1.723413191	0.9933642999
12	1.706586193	0.9943596549
13	1.690510785	0.9943596549
14	1.674612894	0.9943596549
15	1.659932136	0.9946914399
16	1.644869057	0.9943596549
17	1.62977185	0.9943596549
18	1.615583796	0.9940278699
19	1.601122852	0.9940278699
20	1.587117428	0.9940278699
21	1.572919188	0.9943596549
22	1.559543206	0.9933642999
23	1.546425519	0.9940278699
24	1.53269448	0.9943596549
25	1.519656448	0.9940278699
26	1.507126476	0.9940278699
27	1.495121971	0.9940278699
28	1.482853168	0.9940278699
29	1.470567807	0.9946914399
30	1.458655276	0.9930325149
31	1.447589987	0.9933642999
32	1.436488527	0.9936960849
33	1.425038211	0.9933642999
34	1.413982434	0.9933642999
35	1.403329838	0.9933642999
36	1.392481633	0.9933642999
37	1.382115669	0.9933642999
38	1.371544612	0.9933642999
39	1.361021499	0.9940278699
40	1.350601456	0.9940278699
41	1.34048593	0.9943596549
42	1.33054505	0.9940278699
43	1.320716186	0.9940278699
44	1.310566431	0.9943596549
45	1.301002038	0.9943596549
46	1.291350938	0.995023225
47	1.282661333	0.9943596549
48	1.27346593	0.995023225
49	1.264426575	0.995023225
50	1.255385127	0.995023225
51	1.246265233	0.995023225
52	1.237471736	0.995023225
53	1.228808141	0.99601858
54	1.220166494	0.99535501
55	1.212070139	0.99601858
56	1.203719427	0.99601858
57	1.195492845	0.995686795
58	1.187041312	0.99601858
59	1.178886221	0.99601858
60	1.170522082	0.99601858
61	1.16313954	0.99601858
62	1.155148582	0.99601858
63	1.147592367	0.995686795
64	1.139947413	0.99601858
65	1.132380023	0.99601858
66	1.124917194	0.99601858
67	1.117362529	0.99601858
68	1.110100951	0.99601858
69	1.102648501	0.99601858
70	1.095314346	0.99601858
71	1.088070428	0.995686795
72	1.080988659	0.995686795
73	1.074316835	0.995686795
74	1.067834003	0.995686795
75	1.060724825	0.995686795
76	1.053785814	0.995686795
77	1.046934531	0.99601858
78	1.040350654	0.995686795
79	1.033963757	0.995686795
80	1.027467124	0.99601858
81	1.021072299	0.995686795
82	1.014685194	0.99601858
83	1.008367166	0.996350365
84	1.002232829	0.996350365
85	0.9961990597	0.996350365
86	0.9901037558	0.996350365
87	0.9839276685	0.996350365
88	0.9779337271	0.996350365
89	0.9717944277	0.996350365
90	0.9657935871	0.996350365
91	0.9600351548	0.996350365
92	0.9540399298	0.996350365
93	0.9483523923	0.996350365
94	0.9427437172	0.996350365
95	0.9370434311	0.996350365
96	0.9317197019	0.996350365
97	0.9259636773	0.996350365
98	0.9207531693	0.996350365
99	0.9152699773	0.996350365
100	0.9098529373	0.996350365
101	0.9047137332	0.996350365
102	0.8994289	0.996350365
103	0.8941695528	0.996350365
104	0.8890700765	0.996350365
105	0.8837759722	0.996350365
106	0.8787724733	0.99601858
107	0.8736737338	0.99601858
108	0.8686961154	0.99601858
109	0.8637292514	0.99601858
110	0.859105852	0.995686795
111	0.8540640938	0.99601858
112	0.8493321982	0.99601858
113	0.8445795245	0.99601858
114	0.8397292951	0.99601858
115	0.8352203425	0.99601858
116	0.8306511898	0.99601858
117	0.8260095914	0.99601858
118	0.8213824974	0.995686795
119	0.8166467634	0.996350365
