iter	Passed	Remaining
0	146	17418
1	152	8975
2	157	6134
3	162	4718
4	167	3863
5	172	3285
6	178	2873
7	184	2585
8	192	2372
9	197	2173
10	203	2013
11	207	1871
12	213	1753
13	217	1649
14	222	1560
15	227	1481
16	232	1409
17	237	1347
18	242	1290
19	247	1238
20	253	1193
21	258	1151
22	263	1112
23	268	1073
24	273	1039
25	278	1006
26	283	975
27	287	946
28	292	918
29	297	893
30	302	869
31	307	845
32	312	823
33	317	802
34	322	782
35	327	763
36	332	745
37	337	728
38	342	711
39	347	694
40	352	679
41	357	664
42	362	649
43	367	634
44	372	621
45	377	608
46	383	595
47	388	583
48	394	571
49	400	560
50	405	548
51	411	537
52	416	526
53	422	515
54	427	505
55	433	494
56	438	484
57	443	474
58	449	464
59	454	454
60	459	444
61	465	435
62	470	425
63	475	416
64	481	407
65	486	397
66	491	388
67	497	380
68	502	371
69	508	362
70	513	354
71	518	345
72	524	337
73	529	329
74	534	320
75	540	312
76	545	304
77	551	296
78	557	289
79	562	281
80	568	273
81	573	265
82	579	258
83	584	250
84	590	243
85	596	235
86	601	228
87	607	220
88	613	213
89	618	206
90	624	198
91	629	191
92	635	184
93	641	177
94	647	170
95	653	163
96	658	156
97	664	149
98	670	142
99	675	135
100	681	128
101	686	121
102	692	114
103	698	107
104	703	100
105	709	93
106	715	86
107	721	80
108	726	73
109	732	66
110	737	59
111	743	53
112	748	46
113	754	39
114	760	33
115	765	26
116	770	19
117	776	13
118	781	6
119	787	0
